PNA,Miejscowość,Ulica,Numery,Gmina,Powiat,Województwo
85-542,Bydgoszcz,Saperów,"75-217(n), 206-280(p)",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
85-412,Bydgoszcz,Siedlecka,"15-187a(n), 22-144(p),",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
,,,47-48a,,,
85-871,Bydgoszcz,Smoleńska,"17-119(n), 102-176(p)",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
85-485,Bydgoszcz,Smukalska,"52-166(p), 127-251(n)",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
85-386,Bydgoszcz,Spacerowa,"25-59(n), 65-147(n)",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
85-634,Bydgoszcz,Józefa Sułkowskiego,"13-21(n), 50-62(p)",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
85-540,Bydgoszcz,Średnia,"65-69(n), 70-80(p)",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
85-544,Bydgoszcz,Średnia,"71-103(n), 82-100,",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
,,,94-126(p),,,
85-817,Bydgoszcz,Toruńska,"101-105(n), 166-170(p)",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
85-844,Bydgoszcz,Toruńska,"107-113(n), 170a-200(p)",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
85-831,Bydgoszcz,Toruńska,"117-131(n), 238-278(p)",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
85-880,Bydgoszcz,Toruńska,"137-287a(n), 280-442(p)",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
85-351,Bydgoszcz,Bronisława Trentowskiego,"1, 11-49(n), 14, 24-52(p)",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
85-791,Bydgoszcz,Józefa Twardzickiego,"8-14d(p), 13-21(n), 26-62",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
85-778,Bydgoszcz,Witebska,"16-50(p), 19-65(n)",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
85-825,Bydgoszcz,Wojska Polskiego,"21-65(n), 22-48(p)",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
85-529,Bydgoszcz,Żeglarska,"38-60(p), 49-91(n)",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
85-545,Bydgoszcz,Żeglarska,"64-92(p), 93-137(n)",Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
41-923,Bytom,Daleka,"2-20, 8-12(p), 9-33(n), 34-44(p)",Bytom,Bytom,śląskie
41-935,Bytom,Jaskółcza,"1-7(n), 4, 12-14(p)",Bytom,Bytom,śląskie
41-923,Bytom,Jaskółcza,"2-4, 5-7(n), 8-12, 14-17",Bytom,Bytom,śląskie
41-906,Bytom,Konstytucji,"76-150(p), 107-141(n),",Bytom,Bytom,śląskie
,,,115-118,,,
41-936,Bytom,Stolarzowicka,"171-203(n), 202-218(p)",Bytom,Bytom,śląskie
41-914,Bytom,Strzelców Bytomskich,"66-220(p), 87-217(n), 96-98",Bytom,Bytom,śląskie
41-933,Bytom,Strzelców Bytomskich,"223-277(n), 232-270(p)",Bytom,Bytom,śląskie
41-935,Bytom,Strzelców Bytomskich,"272-450(p), 295-451(n)",Bytom,Bytom,śląskie
41-933,Bytom,Władysława Łokietka,"1-7(n), 4-6(p), 10-12",Bytom,Bytom,śląskie
41-935,Bytom,Władysława Łokietka,"2-4(p), 13-45(n),",Bytom,Bytom,śląskie
,,,16-34(p),,,
41-907,Bytom,Zabrzańska,"1-129(n), 6-98(p), 30-31,",Bytom,Bytom,śląskie
,,,112,,,
41-902,Bytom,Zabrzańska,"100-110(p), 132-138(p),",Bytom,Bytom,śląskie
,,,155-163(n),,,
41-905,Bytom,Zabrzańska,"116-130(p), 135-153(n)",Bytom,Bytom,śląskie
41-516,Chorzów,Aleja Wojska Polskiego,"2-14(p), 17, 20-23",Chorzów,Chorzów,śląskie
41-506,Chorzów,ks. Jana Gałeczki,"41-93(n), 50-76(p)",Chorzów,Chorzów,śląskie
41-500,Chorzów,Tadeusza Kościuszki,"4-11, 16-38(p), 31-61(n)",Chorzów,Chorzów,śląskie
41-503,Chorzów,Tadeusza Kościuszki,"44-98(p), 63-95(n)",Chorzów,Chorzów,śląskie
06-400,Ciechanów,Armii Krajowej,"10-24(p), 31-49a(n)",Ciechanów,ciechanowski,mazowieckie
06-413,Ciechanów,Pułtuska,"13-67(n), 14-130(p)",Ciechanów,ciechanowski,mazowieckie
41-250,Czeladź,Nowopogońska,"1-8, 9-53a(n), 10-98(p)",Czeladź,będziński,śląskie
41-253,Czeladź,Nowopogońska,"95-231a(n), 164-244(p)",Czeladź,będziński,śląskie
44-230,Czerwionka-Leszczyny,Aleja Spacerowa,,Czerwionka-Leszczyny,rybnicki,śląskie
44-230,Czerwionka-,Aleja Świętej Barbary,,Czerwionka-Leszczyny,rybnicki,śląskie
44-238,Czerwionka-,Świętego Antoniego,,Czerwionka-Leszczyny,rybnicki,śląskie
44-238,Czerwionka-,Armii Krajowej,"1-3, 5, 53-DK",Czerwionka-Leszczyny,rybnicki,śląskie
44-230,Czerwionka-,Armii Krajowej,"4, 6-7",Czerwionka-Leszczyny,rybnicki,śląskie
44-230,Czerwionka-,Asnyka,,Czerwionka-Leszczyny,rybnicki,śląskie
44-230,Czerwionka-,Bełkowska,,Czerwionka-Leszczyny,rybnicki,śląskie
